WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_005571 0.369261 0.258369 0.0437109 0.0481117 0 0 0.0293848
XLOC_001441 563.822 645.525 733.739 685.437 729.82 752.891 167.505
XLOC_005574 0.0151307 0.517313 14.9778 54.9543 150.35 683.32 1336.19
XLOC_001454 0 0.0272261 0.282687 0.306137 0.181671 0 0
XLOC_005584 19.3713 19.1236 22.6604 27.7537 29.2158 46.3559 46.0251
XLOC_001469 25.9633 18.2048 16.3558 24.8589 18.9592 53.6722 52.0653
XLOC_005599 38.2479 25.9167 9.50169 9.10645 8.6634 6.94331 4.95843
XLOC_001483 9.80087 15.61 40.3014 48.3911 52.5934 45.317 23.2509
XLOC_001513 302.936 269.922 58.3606 25.3176 22.0188 18.5064 21.822
XLOC_001527 0 0 0 0 0 0 0.0398172
XLOC_005646 12.7903 18.96 15.9177 15.4601 10.5352 6.55147 3.50661
XLOC_005647 2.41716 2.26014 6.8721 7.25789 3.68751 2.15854 0.0755955
XLOC_005648 14.0572 19.2278 48.6619 72.8906 74.9926 45.8073 36.0147
XLOC_001534 34.9518 24.3871 18.4073 26.0182 32.7844 20.5177 13.8781
XLOC_005660 3.94114 15.4847 207.184 345.435 407.719 619.101 629.66
XLOC_005681 0 0.0318586 0.285307 0.165527 0.0300028 0 0
XLOC_001572 0.0118596 0.0431471 0.0479377 0.170244 0.265374 0.93326 2.3136
XLOC_001584 9.03726 12.6498 18.8799 20.4309 16.9498 11.2556 6.75997
XLOC_005692 15.4679 18.727 22.8823 24.6383 20.8187 11.221 6.7597
XLOC_001590 365.97 556.317 373.077 183.532 58.8501 2.1685 0.158006
XLOC_001601 15.7192 12.6329 9.54631 8.50708 9.98297 12.0747 13.5095
XLOC_001603 82.3925 97.137 83.503 73.6332 51.9213 13.4991 2.56341
XLOC_001606 4.42568 5.17775 2.97141 2.74779 2.69233 2.07238 1.96136
XLOC_001623 8.47405 7.98044 6.92538 5.20725 4.89337 4.08521 2.35235
XLOC_001625 11.9917 11.7022 21.0585 17.239 6.66369 0.536111 0
XLOC_005729 22.5402 15.5204 8.39636 12.3364 14.6969 14.3232 14.4757
XLOC_001637 21.4984 33.7818 38.3655 20.5026 11.9842 1.66085 0.359992
XLOC_005743 14.5606 16.4732 13.7919 13.4477 12.2248 9.58145 5.94195
XLOC_005752 869.763 1223.92 440.043 102.785 26.6079 2.27736 0.435269
